INFO:root:Dataset: cbmc
INFO:mainlogger.util:The dimension after PCA is:  200
INFO:root:There are 599 pairred samples with 200 RNAs (after PCA) and 13 proteins for training.
INFO:root:There are 2696 unlabeled mRNAs amples and 2696 unlabeled protein samples for training.
INFO:root:There are 2561 pairred samples for testing.
INFO:root:

INFO:mainlogger:Begin training!
INFO:mainlogger:Epoch 0: Train Loss: 0.8970, Train PCC: 0.1983, Val Loss: 0.4014,Val PCC: 0.4129, Best epoch: 0, Best val loss: 0.4014
INFO:mainlogger:Epoch 1: Train Loss: 0.2943, Train PCC: 0.4713, Val Loss: 0.2527,Val PCC: 0.4721, Best epoch: 1, Best val loss: 0.2527
INFO:mainlogger:Epoch 2: Train Loss: 0.1748, Train PCC: 0.6240, Val Loss: 0.2111,Val PCC: 0.5636, Best epoch: 2, Best val loss: 0.2111
INFO:mainlogger:Epoch 3: Train Loss: 0.1403, Train PCC: 0.6892, Val Loss: 0.2083,Val PCC: 0.5517, Best epoch: 3, Best val loss: 0.2083
INFO:mainlogger:Epoch 4: Train Loss: 0.1236, Train PCC: 0.7299, Val Loss: 0.2092,Val PCC: 0.5437, Best epoch: 3, Best val loss: 0.2083
INFO:mainlogger:Epoch 5: Train Loss: 0.1078, Train PCC: 0.7652, Val Loss: 0.2139,Val PCC: 0.5325, Best epoch: 3, Best val loss: 0.2083
INFO:mainlogger:Epoch 6: Train Loss: 0.1015, Train PCC: 0.7805, Val Loss: 0.2041,Val PCC: 0.5522, Best epoch: 6, Best val loss: 0.2041
INFO:mainlogger:Epoch 7: Train Loss: 0.0904, Train PCC: 0.8079, Val Loss: 0.1985,Val PCC: 0.5847, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 8: Train Loss: 0.0843, Train PCC: 0.8230, Val Loss: 0.2064,Val PCC: 0.5746, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 9: Train Loss: 0.0785, Train PCC: 0.8318, Val Loss: 0.2070,Val PCC: 0.5769, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 10: Train Loss: 0.0718, Train PCC: 0.8498, Val Loss: 0.2132,Val PCC: 0.5606, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 11: Train Loss: 0.0656, Train PCC: 0.8630, Val Loss: 0.2036,Val PCC: 0.5718, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 12: Train Loss: 0.0612, Train PCC: 0.8732, Val Loss: 0.2047,Val PCC: 0.5802, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 13: Train Loss: 0.0560, Train PCC: 0.8846, Val Loss: 0.2069,Val PCC: 0.5705, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 14: Train Loss: 0.0525, Train PCC: 0.8914, Val Loss: 0.2087,Val PCC: 0.5599, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 15: Train Loss: 0.0520, Train PCC: 0.8898, Val Loss: 0.2116,Val PCC: 0.5746, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 16: Train Loss: 0.0472, Train PCC: 0.9000, Val Loss: 0.2151,Val PCC: 0.5738, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 17: Train Loss: 0.0424, Train PCC: 0.9108, Val Loss: 0.2163,Val PCC: 0.5759, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 18: Train Loss: 0.0381, Train PCC: 0.9202, Val Loss: 0.2152,Val PCC: 0.5703, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 19: Train Loss: 0.0361, Train PCC: 0.9259, Val Loss: 0.2240,Val PCC: 0.5583, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 20: Train Loss: 0.0354, Train PCC: 0.9265, Val Loss: 0.2193,Val PCC: 0.5654, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 21: Train Loss: 0.0334, Train PCC: 0.9303, Val Loss: 0.2197,Val PCC: 0.5642, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 22: Train Loss: 0.0322, Train PCC: 0.9331, Val Loss: 0.2156,Val PCC: 0.5814, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 23: Train Loss: 0.0300, Train PCC: 0.9368, Val Loss: 0.2318,Val PCC: 0.5592, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 24: Train Loss: 0.0299, Train PCC: 0.9378, Val Loss: 0.2309,Val PCC: 0.5795, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 25: Train Loss: 0.0282, Train PCC: 0.9406, Val Loss: 0.2274,Val PCC: 0.5676, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 26: Train Loss: 0.0268, Train PCC: 0.9435, Val Loss: 0.2249,Val PCC: 0.5652, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 27: Train Loss: 0.0267, Train PCC: 0.9432, Val Loss: 0.2327,Val PCC: 0.5541, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 28: Train Loss: 0.0249, Train PCC: 0.9481, Val Loss: 0.2287,Val PCC: 0.5524, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 29: Train Loss: 0.0218, Train PCC: 0.9543, Val Loss: 0.2349,Val PCC: 0.5370, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 30: Train Loss: 0.0195, Train PCC: 0.9582, Val Loss: 0.2252,Val PCC: 0.5479, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 31: Train Loss: 0.0181, Train PCC: 0.9617, Val Loss: 0.2253,Val PCC: 0.5618, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 32: Train Loss: 0.0159, Train PCC: 0.9663, Val Loss: 0.2232,Val PCC: 0.5604, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 33: Train Loss: 0.0163, Train PCC: 0.9657, Val Loss: 0.2247,Val PCC: 0.5419, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 34: Train Loss: 0.0157, Train PCC: 0.9674, Val Loss: 0.2363,Val PCC: 0.5514, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 35: Train Loss: 0.0148, Train PCC: 0.9682, Val Loss: 0.2277,Val PCC: 0.5536, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 36: Train Loss: 0.0137, Train PCC: 0.9713, Val Loss: 0.2266,Val PCC: 0.5504, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 37: Train Loss: 0.0131, Train PCC: 0.9717, Val Loss: 0.2331,Val PCC: 0.5602, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 38: Train Loss: 0.0126, Train PCC: 0.9726, Val Loss: 0.2346,Val PCC: 0.5469, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 39: Train Loss: 0.0142, Train PCC: 0.9701, Val Loss: 0.2365,Val PCC: 0.5403, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 40: Train Loss: 0.0136, Train PCC: 0.9721, Val Loss: 0.2318,Val PCC: 0.5485, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 41: Train Loss: 0.0140, Train PCC: 0.9710, Val Loss: 0.2352,Val PCC: 0.5456, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 42: Train Loss: 0.0120, Train PCC: 0.9748, Val Loss: 0.2298,Val PCC: 0.5499, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 43: Train Loss: 0.0111, Train PCC: 0.9763, Val Loss: 0.2310,Val PCC: 0.5543, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 44: Train Loss: 0.0105, Train PCC: 0.9778, Val Loss: 0.2366,Val PCC: 0.5442, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 45: Train Loss: 0.0106, Train PCC: 0.9777, Val Loss: 0.2283,Val PCC: 0.5483, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 46: Train Loss: 0.0097, Train PCC: 0.9794, Val Loss: 0.2370,Val PCC: 0.5522, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 47: Train Loss: 0.0087, Train PCC: 0.9811, Val Loss: 0.2319,Val PCC: 0.5493, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 48: Train Loss: 0.0088, Train PCC: 0.9813, Val Loss: 0.2344,Val PCC: 0.5580, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 49: Train Loss: 0.0105, Train PCC: 0.9781, Val Loss: 0.2397,Val PCC: 0.5428, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 50: Train Loss: 0.0092, Train PCC: 0.9803, Val Loss: 0.2297,Val PCC: 0.5482, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 51: Train Loss: 0.0082, Train PCC: 0.9825, Val Loss: 0.2310,Val PCC: 0.5521, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 52: Train Loss: 0.0079, Train PCC: 0.9830, Val Loss: 0.2305,Val PCC: 0.5447, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 53: Train Loss: 0.0072, Train PCC: 0.9849, Val Loss: 0.2328,Val PCC: 0.5488, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 54: Train Loss: 0.0075, Train PCC: 0.9842, Val Loss: 0.2351,Val PCC: 0.5464, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 55: Train Loss: 0.0073, Train PCC: 0.9847, Val Loss: 0.2312,Val PCC: 0.5504, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 56: Train Loss: 0.0074, Train PCC: 0.9844, Val Loss: 0.2356,Val PCC: 0.5450, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 57: Train Loss: 0.0075, Train PCC: 0.9842, Val Loss: 0.2373,Val PCC: 0.5382, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 58: Train Loss: 0.0097, Train PCC: 0.9802, Val Loss: 0.2333,Val PCC: 0.5536, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 59: Train Loss: 0.0096, Train PCC: 0.9807, Val Loss: 0.2365,Val PCC: 0.5463, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 60: Train Loss: 0.0094, Train PCC: 0.9805, Val Loss: 0.2327,Val PCC: 0.5487, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 61: Train Loss: 0.0087, Train PCC: 0.9822, Val Loss: 0.2380,Val PCC: 0.5410, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 62: Train Loss: 0.0089, Train PCC: 0.9811, Val Loss: 0.2332,Val PCC: 0.5451, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 63: Train Loss: 0.0079, Train PCC: 0.9837, Val Loss: 0.2389,Val PCC: 0.5424, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 64: Train Loss: 0.0082, Train PCC: 0.9830, Val Loss: 0.2357,Val PCC: 0.5388, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 65: Train Loss: 0.0085, Train PCC: 0.9824, Val Loss: 0.2325,Val PCC: 0.5470, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 66: Train Loss: 0.0075, Train PCC: 0.9835, Val Loss: 0.2326,Val PCC: 0.5583, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 67: Train Loss: 0.0072, Train PCC: 0.9847, Val Loss: 0.2375,Val PCC: 0.5501, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 68: Train Loss: 0.0073, Train PCC: 0.9846, Val Loss: 0.2349,Val PCC: 0.5496, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 69: Train Loss: 0.0070, Train PCC: 0.9856, Val Loss: 0.2326,Val PCC: 0.5508, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 70: Train Loss: 0.0073, Train PCC: 0.9850, Val Loss: 0.2337,Val PCC: 0.5572, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 71: Train Loss: 0.0075, Train PCC: 0.9847, Val Loss: 0.2364,Val PCC: 0.5354, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 72: Train Loss: 0.0078, Train PCC: 0.9834, Val Loss: 0.2349,Val PCC: 0.5496, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 73: Train Loss: 0.0076, Train PCC: 0.9839, Val Loss: 0.2325,Val PCC: 0.5472, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 74: Train Loss: 0.0069, Train PCC: 0.9859, Val Loss: 0.2304,Val PCC: 0.5426, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 75: Train Loss: 0.0077, Train PCC: 0.9843, Val Loss: 0.2333,Val PCC: 0.5563, Best epoch: 7, Best val loss: 0.1985
INFO:mainlogger:Epoch 76: Train Loss: 0.0069, Train PCC: 0.9856, Val Loss: 0.2308,Val PCC: 0.5472, Best epoch: 7, Best val loss: 0.1985
