INFO:root:Dataset: sln
INFO:mainlogger.util:The dimension after PCA is:  200
INFO:root:There are 2742 pairred samples with 200 RNAs (after PCA) and 110 proteins for training.
INFO:root:There are 12342 unlabeled mRNAs amples and 12342 unlabeled protein samples for training.
INFO:root:There are 3048 pairred samples for testing.
INFO:root:

INFO:mainlogger:Begin training!
INFO:mainlogger:Epoch 0: Train Loss: 1.7124, Train PCC: 0.0175, Val Loss: 1.6350,Val PCC: 0.0398, Best epoch: 0, Best val loss: 1.6350
INFO:mainlogger:Epoch 1: Train Loss: 1.5447, Train PCC: 0.0441, Val Loss: 1.5686,Val PCC: 0.0470, Best epoch: 1, Best val loss: 1.5686
INFO:mainlogger:Epoch 2: Train Loss: 1.4923, Train PCC: 0.0591, Val Loss: 1.5299,Val PCC: 0.0452, Best epoch: 2, Best val loss: 1.5299
INFO:mainlogger:Epoch 3: Train Loss: 1.4429, Train PCC: 0.0729, Val Loss: 1.5063,Val PCC: 0.0533, Best epoch: 3, Best val loss: 1.5063
INFO:mainlogger:Epoch 4: Train Loss: 1.3935, Train PCC: 0.0851, Val Loss: 1.4358,Val PCC: 0.0580, Best epoch: 4, Best val loss: 1.4358
INFO:mainlogger:Epoch 5: Train Loss: 1.3601, Train PCC: 0.0936, Val Loss: 1.4429,Val PCC: 0.0608, Best epoch: 4, Best val loss: 1.4358
INFO:mainlogger:Epoch 6: Train Loss: 1.3380, Train PCC: 0.1045, Val Loss: 1.3886,Val PCC: 0.0660, Best epoch: 6, Best val loss: 1.3886
INFO:mainlogger:Epoch 7: Train Loss: 1.3174, Train PCC: 0.1146, Val Loss: 1.4097,Val PCC: 0.0681, Best epoch: 6, Best val loss: 1.3886
INFO:mainlogger:Epoch 8: Train Loss: 1.2946, Train PCC: 0.1227, Val Loss: 1.3544,Val PCC: 0.0738, Best epoch: 8, Best val loss: 1.3544
INFO:mainlogger:Epoch 9: Train Loss: 1.2888, Train PCC: 0.1288, Val Loss: 1.3914,Val PCC: 0.0695, Best epoch: 8, Best val loss: 1.3544
INFO:mainlogger:Epoch 10: Train Loss: 1.2769, Train PCC: 0.1321, Val Loss: 1.3220,Val PCC: 0.0769, Best epoch: 10, Best val loss: 1.3220
INFO:mainlogger:Epoch 11: Train Loss: 1.2530, Train PCC: 0.1410, Val Loss: 1.3132,Val PCC: 0.0770, Best epoch: 11, Best val loss: 1.3132
INFO:mainlogger:Epoch 12: Train Loss: 1.2236, Train PCC: 0.1496, Val Loss: 1.3299,Val PCC: 0.0835, Best epoch: 11, Best val loss: 1.3132
INFO:mainlogger:Epoch 13: Train Loss: 1.2309, Train PCC: 0.1557, Val Loss: 1.3568,Val PCC: 0.0816, Best epoch: 11, Best val loss: 1.3132
INFO:mainlogger:Epoch 14: Train Loss: 1.2246, Train PCC: 0.1590, Val Loss: 1.3052,Val PCC: 0.0828, Best epoch: 14, Best val loss: 1.3052
INFO:mainlogger:Epoch 15: Train Loss: 1.2008, Train PCC: 0.1632, Val Loss: 1.2971,Val PCC: 0.0871, Best epoch: 15, Best val loss: 1.2971
INFO:mainlogger:Epoch 16: Train Loss: 1.1827, Train PCC: 0.1748, Val Loss: 1.2861,Val PCC: 0.0926, Best epoch: 16, Best val loss: 1.2861
INFO:mainlogger:Epoch 17: Train Loss: 1.1786, Train PCC: 0.1798, Val Loss: 1.3088,Val PCC: 0.0887, Best epoch: 16, Best val loss: 1.2861
INFO:mainlogger:Epoch 18: Train Loss: 1.1704, Train PCC: 0.1816, Val Loss: 1.2684,Val PCC: 0.0912, Best epoch: 18, Best val loss: 1.2684
INFO:mainlogger:Epoch 19: Train Loss: 1.1597, Train PCC: 0.1909, Val Loss: 1.2549,Val PCC: 0.0956, Best epoch: 19, Best val loss: 1.2549
