INFO:root:Dataset: sln
INFO:mainlogger.util:The dimension after PCA is:  200
INFO:root:There are 2742 pairred samples with 200 RNAs (after PCA) and 110 proteins for training.
INFO:root:There are 12342 unlabeled mRNAs amples and 12342 unlabeled protein samples for training.
INFO:root:There are 3048 pairred samples for testing.
INFO:root:

INFO:mainlogger:Begin training!
INFO:mainlogger:Epoch 0: Train Loss: 1.9337, Train PCC: 0.0974, Val Loss: 0.7981,Val PCC: 0.2434, Best epoch: 0, Best val loss: 0.7981
INFO:mainlogger:Epoch 1: Train Loss: 0.7585, Train PCC: 0.3076, Val Loss: 0.7321,Val PCC: 0.2971, Best epoch: 1, Best val loss: 0.7321
INFO:mainlogger:Epoch 2: Train Loss: 0.6803, Train PCC: 0.3871, Val Loss: 0.7049,Val PCC: 0.3372, Best epoch: 2, Best val loss: 0.7049
INFO:mainlogger:Epoch 3: Train Loss: 0.6409, Train PCC: 0.4358, Val Loss: 0.6913,Val PCC: 0.3536, Best epoch: 3, Best val loss: 0.6913
INFO:mainlogger:Epoch 4: Train Loss: 0.6201, Train PCC: 0.4682, Val Loss: 0.6855,Val PCC: 0.3662, Best epoch: 4, Best val loss: 0.6855
INFO:mainlogger:Epoch 5: Train Loss: 0.5991, Train PCC: 0.4976, Val Loss: 0.6907,Val PCC: 0.3648, Best epoch: 4, Best val loss: 0.6855
INFO:mainlogger:Epoch 6: Train Loss: 0.5856, Train PCC: 0.5168, Val Loss: 0.6898,Val PCC: 0.3697, Best epoch: 4, Best val loss: 0.6855
INFO:mainlogger:Epoch 7: Train Loss: 0.5710, Train PCC: 0.5354, Val Loss: 0.6784,Val PCC: 0.3796, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 8: Train Loss: 0.5569, Train PCC: 0.5522, Val Loss: 0.6831,Val PCC: 0.3747, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 9: Train Loss: 0.5423, Train PCC: 0.5682, Val Loss: 0.6889,Val PCC: 0.3750, Best epoch: 7, Best val loss: 0.6784
INFO:mainlogger:Epoch 10: Train Loss: 0.5327, Train PCC: 0.5816, Val Loss: 0.6932,Val PCC: 0.3753, Best epoch: 7, Best val loss: 0.6784
